,eid,gid,name
726,553,0,Patras Battles 2017
727,554,0,EGC Flemish Open Tournament
728,555,0,Ⅳ. Basque National Stratego Championship 2017
729,556,0,18. Berliner Turnier
730,557,0,EGC Wallonian Grand Prix
731,558,0,
732,559,0,OPEN Athens
733,560,0,Provinciaal Kampioenschap Noord-Brabant
734,560,1,Bekertoernooi Baronnen
735,560,2,Provinciaal Kampioenschap Noord-Brabant
736,561,0,Breiholz Open
737,562,0,Provinciaal Kampioenschap Junioren Hulshout
738,563,0,World Championships
739,564,0,Mind Sport Olympiad
740,565,0,"World Championships, Juniors"
741,565,1,"World Championships, Open Tournament"
742,566,0,EGC Flanders Grand Prix
743,566,1,EGC Flanders Grand Prix
744,567,0,8. Pfälzer Open
745,568,0,Provinciaal Kampioenschap Gelderland
746,569,0,Open Patras Oct2017
747,570,0,2nd Open Serres’ Stratego Tournament
748,570,1,1st Junior Open Serres’ Stratego Tournament
749,571,0,EGC French International Tournament
750,572,0,Provinciaal Kampioenschap Utrecht
751,573,0,Greek National Stratego Championship 2017
752,574,0,Kempens Kampioenschap Hulshout
753,575,0,Nederlandse Kampioenschappen
754,575,1,"Nederlandse Kampioenschappen, Jeugd"
755,576,0,Belgian Championship
756,577,0,Deutsche Meisterschaften
757,578,0,Ⅲ. Jaun Zuria Stratego Tournament
758,579,0,U.K. National Stratego Championship 2017
759,580,0,UniChristmas2017
760,581,0,EGC De Vos Recycling Grand Prix Final
761,582,0,Stratego Captains
762,583,0,Junior Christmas 2017
763,583,1,Junior Christmas 2017
